
2023/11/17 (20:16:36) | ===> btop++ v.1.2.13
2023/11/17 (20:16:36) | WARNING: Could not get temp sensor - maybe you need to load the coretemp module
2023/11/17 (20:16:50) | WARNING: Failed to join _runner thread on exit!

2023/11/27 (19:23:43) | ===> btop++ v.1.2.13
2023/11/27 (19:23:43) | WARNING: Could not get temp sensor - maybe you need to load the coretemp module

2023/11/27 (19:23:56) | ===> btop++ v.1.2.13
2023/11/27 (19:23:56) | WARNING: Could not get temp sensor - maybe you need to load the coretemp module

2023/11/28 (12:47:22) | ===> btop++ v.1.2.13
2023/11/28 (12:47:22) | WARNING: Failed to join _runner thread on exit!
